Close,DateTime,High,Low,Open,Symbol,Volume
172.8,1.5236E+12,175.51,172.225,174.49,HD,4311225
174.43,1.52385E+12,175.6,173.32,174.23,HD,3534205
174.91,1.52394E+12,176.24,174.1,175.76,HD,3106493
179.85,1.52403E+12,180.25,174.99,175,HD,5858880
177.08,1.52411E+12,179.7,175.77,179.5,HD,5407311
177.01,1.5242E+12,178.89,176.32,177.85,HD,5008614
177.66,1.52446E+12,178.38,176.13,177.62,HD,2987719
176.26,1.52455E+12,180,175.05,179.3,HD,4435423
177.39,1.52463E+12,178.07,174.55,176.08,HD,5587286
185.72,1.52472E+12,185.93,178.08,178.46,HD,8782470
186.46,1.52481E+12,187.0432,183.87,185.49,HD,4382418
184.8,1.52506E+12,187.8,184.8,186.99,HD,4173189
184.63,1.52515E+12,184.73,181.4,184.73,HD,3423884
185.91,1.52524E+12,187.12,183.75,184.49,HD,3866503
183.19,1.52532E+12,184.9,181.201,184.87,HD,4123873
185.03,1.52541E+12,186.35,181.84,182.75,HD,3896175
183.56,1.52567E+12,185.5,182.67,185.4,HD,3582327
185.04,1.52576E+12,185.3,182.5,183.45,HD,4168151
186.36,1.52584E+12,186.5,183.57,185.03,HD,3392251
187.16,1.52593E+12,187.97,185.88,185.97,HD,3850116
190.31,1.52601E+12,190.8,187.35,187.63,HD,5355073
191.08,1.52627E+12,191.65,189.86,191.5,HD,7035919
187.98,1.52636E+12,189.69,186.101,189.5,HD,10147044
186.38,1.52645E+12,189.28,185.9,189.28,HD,5044785
185.33,1.52653E+12,187.18,184.87,186.25,HD,4227660
187.42,1.52662E+12,188.21,185.55,185.75,HD,4697850
189.79,1.52688E+12,190.67,188,188.2,HD,4147784
186.87,1.52697E+12,190.78,186.5175,190.06,HD,4585635
186.67,1.52705E+12,187.315,184.98,187.1,HD,7387362
187.15,1.52714E+12,187.41,184.67,186.79,HD,3941299
186.85,1.52722E+12,187.8302,186.05,186.71,HD,2730436
185,1.52757E+12,186.83,184.25,185.55,HD,4725486
187.09,1.52766E+12,187.8,184.01,184.83,HD,3976000
186.55,1.52774E+12,187.36,185.25,187.16,HD,4839948
187.35,1.52783E+12,188.83,186.52,187.21,HD,3706248
191.36,1.52809E+12,191.54,187.97,188.22,HD,4103328
191.94,1.52817E+12,192.38,189.7,190.44,HD,4231253
193.59,1.52826E+12,193.59,191.21,193.07,HD,4134745
196.17,1.52835E+12,197.2,193.83,193.83,HD,4378743
198.33,1.52843E+12,198.5,195.01,195.87,HD,4006213
199.64,1.52869E+12,200.52,198.34,198.91,HD,4242950
201.31,1.52878E+12,201.34,199.51,199.84,HD,4616661
200.31,1.52887E+12,201.58,199.6588,201.3,HD,5128112
199.67,1.52895E+12,201,198.16,200.26,HD,4305893
200.54,1.52904E+12,201.6,198.5,198.95,HD,7820898
200.69,1.5293E+12,200.91,198.11,198.94,HD,3405347
199.21,1.52938E+12,199.9,198.1,198.21,HD,5501146
199.08,1.52947E+12,200.13,198.12,200,HD,3389588
200.31,1.52956E+12,200.94,198.61,199.21,HD,4695068
197.41,1.52964E+12,201.2,197.17,200.79,HD,7067329
196.38,1.5299E+12,197.84,195.06,197.41,HD,5127170
196.36,1.52999E+12,197.33,195.6,196.58,HD,3270629
195.02,1.53008E+12,197.99,195.01,196.66,HD,3771722
195.21,1.53016E+12,196.01,193.51,195,HD,2994073
195.1,1.53025E+12,198.83,194.99,195.86,HD,4106627
194.02,1.53051E+12,194.18,192.12,193.82,HD,3822776
193.62,1.53059E+12,195.71,193.41,194.44,HD,1608418
194.41,1.53077E+12,194.74,193.13,194.49,HD,3040575
194.48,1.53085E+12,195.35,192.95,194.58,HD,2552568
196.08,1.53111E+12,196.71,195.03,195.7,HD,2575076
197.61,1.5312E+12,197.76,196.38,196.56,HD,2842359
196.95,1.53129E+12,197.76,195.9506,197.22,HD,3309295
197.95,1.53137E+12,198.48,197,198.2,HD,2709206
198.69,1.53146E+12,199.93,198.46,198.46,HD,2311624
198.88,1.53172E+12,199.22,197.89,199.14,HD,2530462
201.1,1.5318E+12,201.43,198.63,198.63,HD,4662847
200.97,1.53189E+12,201.92,200.19,201.02,HD,3787846
202.63,1.53198E+12,203.23,200.5463,200.89,HD,3691097
202.45,1.53206E+12,203.76,201.82,202.08,HD,3568417
202.23,1.53232E+12,203.39,201.9,202.46,HD,2264267
201.99,1.53241E+12,204.25,201.35,203.53,HD,5058216
201,1.53249E+12,202.29,199.07,201.4,HD,4380559
